datetime,light,twilight,interp,excluded
2011-06-23T01:45:57.000Z,0,0,FALSE,FALSE
2011-06-23T01:46:01.687Z,2.5,1,TRUE,TRUE
2011-06-23T01:47:57.000Z,64,0,FALSE,FALSE
2011-06-23T02:19:57.000Z,64,0,FALSE,FALSE
2011-06-23T02:21:52.312Z,2.5,2,TRUE,TRUE
2011-06-23T02:21:57.000Z,0,0,FALSE,FALSE
2011-06-23T02:33:57.000Z,0,0,FALSE,FALSE
2011-06-23T02:34:01.687Z,2.5,1,TRUE,TRUE
2011-06-23T02:35:57.000Z,64,0,FALSE,FALSE
2011-06-23T02:37:52.312Z,2.5,2,TRUE,TRUE
2011-06-23T02:37:57.000Z,0,0,FALSE,FALSE
2011-06-23T09:27:57.000Z,0,0,FALSE,FALSE
2011-06-23T09:29:57.000Z,1,0,FALSE,FALSE
2011-06-23T09:31:57.000Z,2,0,FALSE,FALSE
2011-06-23T09:32:27.000Z,2.5,1,TRUE,FALSE
2011-06-23T09:33:57.000Z,4,0,FALSE,FALSE
2011-06-23T09:35:57.000Z,5,0,FALSE,FALSE
2011-06-23T09:37:57.000Z,7,0,FALSE,FALSE
2011-06-23T09:39:57.000Z,10,0,FALSE,FALSE
2011-06-23T09:41:57.000Z,12,0,FALSE,FALSE
2011-06-23T09:43:57.000Z,16,0,FALSE,FALSE
2011-06-23T09:45:57.000Z,20,0,FALSE,FALSE
2011-06-23T09:47:57.000Z,24,0,FALSE,FALSE
2011-06-23T09:49:57.000Z,28,0,FALSE,FALSE
2011-06-23T09:51:57.000Z,34,0,FALSE,FALSE
2011-06-23T09:53:57.000Z,40,0,FALSE,FALSE
2011-06-23T09:55:57.000Z,46,0,FALSE,FALSE
2011-06-23T09:57:57.000Z,52,0,FALSE,FALSE
2011-06-23T09:59:57.000Z,58,0,FALSE,FALSE
2011-06-23T10:01:57.000Z,64,0,FALSE,FALSE
2011-06-23T10:37:57.000Z,64,0,FALSE,FALSE
2011-06-23T10:39:57.000Z,52,0,FALSE,FALSE
2011-06-23T10:41:51.230Z,2.5,2,TRUE,TRUE
2011-06-23T10:41:57.000Z,0,0,FALSE,FALSE
2011-06-23T11:13:57.000Z,0,0,FALSE,FALSE
2011-06-23T11:15:12.000Z,2.5,1,TRUE,TRUE
2011-06-23T11:15:57.000Z,4,0,FALSE,FALSE
2011-06-23T11:17:57.000Z,8,0,FALSE,FALSE
2011-06-23T11:19:57.000Z,64,0,FALSE,FALSE
2011-06-23T11:45:57.000Z,64,0,FALSE,FALSE
2011-06-23T11:47:57.000Z,34,0,FALSE,FALSE
2011-06-23T11:49:57.000Z,36,0,FALSE,FALSE
2011-06-23T11:51:57.000Z,64,0,FALSE,FALSE
2011-06-23T12:43:57.000Z,64,0,FALSE,FALSE
2011-06-23T12:45:54.142Z,2.5,2,TRUE,TRUE
2011-06-23T12:45:57.000Z,1,0,FALSE,FALSE
2011-06-23T12:47:57.000Z,2,0,FALSE,FALSE
2011-06-23T12:49:57.000Z,2,0,FALSE,FALSE
2011-06-23T12:50:57.000Z,2.5,1,TRUE,TRUE
2011-06-23T12:51:57.000Z,3,0,FALSE,FALSE
2011-06-23T12:53:57.000Z,8,0,FALSE,FALSE
2011-06-23T12:55:57.000Z,64,0,FALSE,FALSE
2011-06-24T01:11:56.000Z,64,0,FALSE,FALSE
2011-06-24T01:13:56.000Z,38,0,FALSE,FALSE
2011-06-24T01:15:56.000Z,64,0,FALSE,FALSE
2011-06-24T01:17:56.000Z,52,0,FALSE,FALSE
2011-06-24T01:19:56.000Z,44,0,FALSE,FALSE
2011-06-24T01:21:56.000Z,40,0,FALSE,FALSE
2011-06-24T01:23:56.000Z,32,0,FALSE,FALSE
2011-06-24T01:25:56.000Z,20,0,FALSE,FALSE
2011-06-24T01:27:56.000Z,13,0,FALSE,FALSE
2011-06-24T01:29:56.000Z,7,0,FALSE,FALSE
2011-06-24T01:31:56.000Z,5,0,FALSE,FALSE
2011-06-24T01:33:56.000Z,3,0,FALSE,FALSE
2011-06-24T01:34:26.000Z,2.5,2,TRUE,FALSE
2011-06-24T01:35:56.000Z,1,0,FALSE,FALSE
2011-06-24T01:37:56.000Z,0,0,FALSE,FALSE
