tFirst,tSecond,type
2013-08-15 19:46:27,2013-08-16 03:43:43,2
2013-08-16 03:43:43,2013-08-16 19:35:02,1
2013-08-16 19:35:02,2013-08-17 03:44:16,2
2013-08-17 03:44:16,2013-08-17 19:40:02,1
2013-08-17 19:40:02,2013-08-18 03:59:16,2
2013-08-18 03:59:16,2013-08-18 19:40:02,1
2013-08-18 19:40:02,2013-08-19 03:43:43,2
2013-08-19 03:43:43,2013-08-19 19:50:03,1
2013-08-19 19:50:03,2013-08-20 04:11:29,2
2013-08-20 04:11:29,2013-08-20 19:43:20,1
2013-08-20 19:43:20,2013-08-21 03:43:42,2
2013-08-21 03:43:42,2013-08-21 19:35:01,1
2013-08-21 19:35:01,2013-08-22 03:56:59,2
2013-08-22 03:56:59,2013-08-22 19:32:58,1
2013-08-22 19:32:58,2013-08-23 03:54:56,2
2013-08-23 03:54:56,2013-08-23 19:35:08,1
2013-08-23 19:35:08,2013-08-24 03:59:49,2
2013-08-24 03:59:49,2013-08-24 19:15:03,1
2013-08-24 19:15:03,2013-08-25 04:06:37,2
2013-08-25 04:06:37,2013-08-25 19:37:14,1
2013-08-25 19:37:14,2013-08-26 04:48:41,2
2013-08-26 04:48:41,2013-08-26 19:31:14,1
2013-08-26 19:31:14,2013-08-27 05:26:36,2
2013-08-27 05:26:36,2013-08-27 19:37:14,1
2013-08-27 19:37:14,2013-08-28 05:28:30,2
2013-08-28 05:28:30,2013-08-28 19:30:02,1
2013-08-28 19:30:02,2013-08-29 05:33:41,2
2013-08-29 05:33:41,2013-08-29 19:27:41,1
2013-08-29 19:27:41,2013-08-30 05:28:30,2
2013-08-30 05:28:30,2013-08-30 19:35:00,1
2013-08-30 19:35:00,2013-08-31 05:28:03,2
2013-08-31 05:28:03,2013-08-31 19:34:59,1
2013-08-31 19:34:59,2013-09-01 05:24:54,2
2013-09-01 05:24:54,2013-09-01 19:34:59,1
2013-09-01 19:34:59,2013-09-02 05:29:54,2
2013-09-02 05:29:54,2013-09-02 19:31:13,1
2013-09-02 19:31:13,2013-09-03 05:24:54,2
2013-09-03 05:24:54,2013-09-03 19:25:01,1
2013-09-03 19:25:01,2013-09-04 05:29:13,2
2013-09-04 05:29:13,2013-09-04 19:26:13,1
2013-09-04 19:26:13,2013-09-05 05:39:13,2
2013-09-05 05:39:13,2013-09-05 19:22:12,1
2013-09-05 19:22:12,2013-09-06 05:38:39,2
2013-09-06 05:38:39,2013-09-06 19:21:05,1
2013-09-06 19:21:05,2013-09-07 05:42:39,2
2013-09-07 05:42:39,2013-09-07 19:20:39,1
2013-09-07 19:20:39,2013-09-08 05:42:23,2
2013-09-08 05:42:23,2013-09-08 19:19:58,1
2013-09-08 19:19:58,2013-09-09 05:38:14,2
2013-09-09 05:38:14,2013-09-09 19:15:39,1
2013-09-09 19:15:39,2013-09-10 05:39:46,2
2013-09-10 05:39:46,2013-09-10 19:19:58,1
2013-09-10 19:19:58,2013-09-11 05:42:39,2
2013-09-11 05:42:39,2013-09-11 19:14:57,1
2013-09-11 19:14:57,2013-09-12 05:41:33,2
2013-09-12 05:41:33,2013-09-12 19:07:11,1
2013-09-12 19:07:11,2013-09-13 05:43:01,2
2013-09-13 05:43:01,2013-09-13 19:04:57,1
2013-09-13 19:04:57,2013-09-14 05:54:52,2
2013-09-14 05:54:52,2013-09-14 19:06:48,1
2013-09-14 19:06:48,2013-09-15 05:44:52,2
2013-09-15 05:44:52,2013-09-15 19:14:57,1
2013-09-15 19:14:57,2013-09-16 05:44:45,2
