datetime,light
2014-05-28 09:19:10,124.91
2014-05-28 09:24:10,124.91
2014-05-28 09:29:10,90.84
2014-05-28 09:34:10,136.27
2014-05-28 09:39:10,124.91
2014-05-28 09:44:10,102.2
2014-05-28 09:49:10,102.2
2014-05-28 09:54:10,90.84
2014-05-28 09:59:10,102.2
2014-05-28 10:04:10,113.56
2014-05-28 10:09:10,113.56
2014-05-28 10:14:10,90.84
2014-05-28 10:19:10,90.84
2014-05-28 10:24:10,79.49
2014-05-28 10:29:10,90.84
2014-05-28 10:34:10,147.62
2014-05-28 10:39:10,68.13
2014-05-28 10:44:10,68.13
2014-05-28 10:49:10,79.49
2014-05-28 10:54:10,90.84
2014-05-28 10:59:10,68.13
2014-05-28 11:04:10,56.78
2014-05-28 11:09:10,68.13
2014-05-28 11:14:10,56.78
2014-05-28 11:19:10,68.13
2014-05-28 11:54:10,68.13
2014-05-28 11:59:10,56.78
2014-05-28 13:19:10,56.78
2014-05-28 13:24:10,68.13
2014-05-28 13:29:10,56.78
2014-05-28 13:34:10,68.13
2014-05-28 13:39:10,79.49
2014-05-28 13:44:10,79.49
2014-05-28 13:49:10,68.13
2014-05-28 13:59:10,68.13
2014-05-28 14:04:10,150
2014-05-28 20:04:10,150
2014-05-28 20:09:10,124.91
2014-05-28 20:14:10,79.49
2014-05-28 20:19:10,56.78
2014-05-28 20:24:10,45.42
2014-05-28 20:29:10,22.71
2014-05-28 20:34:10,11.36
2014-05-29 02:34:10,11.36
2014-05-29 02:39:10,34.07
2014-05-29 02:44:10,56.78
2014-05-29 02:49:10,56.78
2014-05-29 02:54:10,90.84
2014-05-29 02:59:10,102.2
2014-05-29 03:04:10,150
2014-05-29 03:29:10,150
2014-05-29 03:34:10,45.42
2014-05-29 03:39:10,34.07
2014-05-29 03:44:10,45.42
2014-05-29 05:04:10,45.42
2014-05-29 05:09:10,56.78
2014-05-29 05:34:10,56.78
2014-05-29 05:39:10,45.42
2014-05-29 05:44:10,56.78
2014-05-29 06:14:10,56.78
2014-05-29 06:19:10,45.42
2014-05-29 06:24:10,56.78
2014-05-29 06:29:10,56.78
2014-05-29 06:34:10,150
2014-05-29 06:39:10,136.27
2014-05-29 06:44:10,113.56
2014-05-29 06:49:10,124.91
2014-05-29 06:54:10,124.91
2014-05-29 06:59:10,136.27
2014-05-29 07:04:10,150
2014-05-29 07:29:10,150
2014-05-29 07:34:10,68.13
2014-05-29 07:39:10,79.49
2014-05-29 07:44:10,79.49
2014-05-29 07:49:10,68.13
2014-05-29 07:54:10,68.13
2014-05-29 07:59:10,150
2014-05-29 08:04:10,68.13
2014-05-29 08:09:10,68.13
2014-05-29 08:14:10,79.49
2014-05-29 08:59:10,79.49
2014-05-29 09:04:10,90.84
2014-05-29 09:09:10,150
2014-05-29 09:44:10,150
2014-05-29 09:49:10,124.91
2014-05-29 09:54:10,150
2014-05-29 10:29:10,150
2014-05-29 10:34:10,56.78
2014-05-29 10:39:10,45.42
2014-05-29 10:44:10,45.42
2014-05-29 10:49:10,150
2014-05-29 12:59:10,150
2014-05-29 13:04:10,56.78
2014-05-29 13:09:10,56.78
2014-05-29 13:14:10,150
2014-05-29 13:29:10,150
2014-05-29 13:34:10,79.49
2014-05-29 13:44:10,79.49
2014-05-29 13:49:10,56.78
2014-05-29 13:54:10,45.42
2014-05-29 13:59:10,45.42
2014-05-29 14:04:10,56.78
2014-05-29 14:09:10,45.42
2014-05-29 14:19:10,45.42
2014-05-29 14:24:10,124.91
2014-05-29 14:29:10,150
2014-05-29 14:34:09,79.49
