tFirst,tSecond,type
2011-09-21 23:30:22,2011-09-22 10:34:52,2
2011-09-22 10:34:52,2011-09-22 23:24:22,1
2011-09-22 23:24:22,2011-09-23 10:33:52,2
2011-09-23 10:33:52,2011-09-23 23:24:52,1
2011-09-23 23:24:52,2011-09-24 10:38:52,2
2011-09-24 10:38:52,2011-09-24 23:18:51,1
2011-09-24 23:18:51,2011-09-25 10:38:51,2
2011-09-25 10:38:51,2011-09-25 23:16:51,1
2011-09-25 23:16:51,2011-09-26 10:42:21,2
2011-09-26 10:42:21,2011-09-26 23:15:51,1
2011-09-26 23:15:51,2011-09-27 10:37:32,2
2011-09-27 10:37:32,2011-09-27 23:20:50,1
2011-09-27 23:20:50,2011-09-28 10:37:40,2
2011-09-28 10:37:40,2011-09-28 23:18:20,1
2011-09-28 23:18:20,2011-09-29 10:38:05,2
2011-09-29 10:38:05,2011-09-29 23:20:34,1
2011-09-29 23:20:34,2011-09-30 10:39:31,2
2011-09-30 10:39:31,2011-09-30 23:16:34,1
2011-09-30 23:16:34,2011-10-01 10:40:04,2
2011-10-01 10:40:04,2011-10-01 23:15:49,1
2011-10-01 23:15:49,2011-10-02 10:38:59,2
2011-10-02 10:38:59,2011-10-02 23:19:48,1
2011-10-02 23:19:48,2011-10-03 10:37:48,2
2011-10-03 10:37:48,2011-10-03 23:11:08,1
2011-10-03 23:11:08,2011-10-04 10:41:30,2
2011-10-04 10:41:30,2011-10-04 23:12:48,1
2011-10-04 23:12:48,2011-10-05 10:43:23,2
2011-10-05 10:43:23,2011-10-05 23:10:41,1
2011-10-05 23:10:41,2011-10-06 10:44:17,2
2011-10-06 10:44:17,2011-10-06 23:08:47,1
2011-10-06 23:08:47,2011-10-07 10:44:17,2
2011-10-07 10:44:17,2011-10-07 23:07:36,1
2011-10-07 23:07:36,2011-10-08 10:42:56,2
2011-10-08 10:42:56,2011-10-08 23:02:31,1
2011-10-08 23:02:31,2011-10-09 10:46:46,2
2011-10-09 10:46:46,2011-10-09 23:00:46,1
2011-10-09 23:00:46,2011-10-10 10:49:31,2
2011-10-10 10:49:31,2011-10-10 22:56:45,1
2011-10-10 22:56:45,2011-10-11 10:56:45,2
2011-10-11 10:56:45,2011-10-11 22:58:00,1
2011-10-11 22:58:00,2011-10-12 10:50:55,2
2011-10-12 10:50:55,2011-10-12 22:55:00,1
2011-10-12 22:55:00,2011-10-13 10:47:59,2
2011-10-13 10:47:59,2011-10-13 22:58:59,1
2011-10-13 22:58:59,2011-10-14 10:51:22,2
2011-10-14 10:51:22,2011-10-14 22:58:14,1
