datetime,light
2011-06-22 11:33:57,34
2011-06-22 11:35:57,40
2011-06-22 11:37:57,46
2011-06-22 11:39:57,48
2011-06-22 11:41:57,50
2011-06-22 11:43:57,52
2011-06-22 11:45:57,54
2011-06-22 11:47:57,64
2011-06-22 11:51:57,64
2011-06-22 11:53:57,46
2011-06-22 11:55:57,42
2011-06-22 11:57:57,48
2011-06-22 11:59:57,58
2011-06-22 12:01:57,64
2011-06-23 00:11:57,64
2011-06-23 00:13:57,60
2011-06-23 00:15:57,58
2011-06-23 00:17:57,52
2011-06-23 00:19:57,44
2011-06-23 00:21:57,40
2011-06-23 00:23:57,34
2011-06-23 00:25:57,30
2011-06-23 00:27:57,28
2011-06-23 00:29:57,24
2011-06-23 00:31:57,22
2011-06-23 00:33:57,20
2011-06-23 00:35:57,18
2011-06-23 00:37:57,16
2011-06-23 00:39:57,14
2011-06-23 00:41:57,12
2011-06-23 00:43:57,11
2011-06-23 00:45:57,10
2011-06-23 00:47:57,9
2011-06-23 00:49:57,8
2011-06-23 00:51:57,7
2011-06-23 00:53:57,6
2011-06-23 00:55:57,5
2011-06-23 00:57:57,4
2011-06-23 00:59:57,3
2011-06-23 01:01:57,3
2011-06-23 01:03:57,2
2011-06-23 01:05:57,1
2011-06-23 01:07:57,1
2011-06-23 01:09:57,0
2011-06-23 01:45:57,0
2011-06-23 01:47:57,64
2011-06-23 02:19:57,64
2011-06-23 02:21:57,0
2011-06-23 02:33:57,0
2011-06-23 02:35:57,64
2011-06-23 02:37:57,0
2011-06-23 09:27:57,0
2011-06-23 09:29:57,1
2011-06-23 09:31:57,2
2011-06-23 09:33:57,4
2011-06-23 09:35:57,5
2011-06-23 09:37:57,7
2011-06-23 09:39:57,10
2011-06-23 09:41:57,12
2011-06-23 09:43:57,16
2011-06-23 09:45:57,20
2011-06-23 09:47:57,24
2011-06-23 09:49:57,28
2011-06-23 09:51:57,34
2011-06-23 09:53:57,40
2011-06-23 09:55:57,46
2011-06-23 09:57:57,52
2011-06-23 09:59:57,58
2011-06-23 10:01:57,64
2011-06-23 10:37:57,64
2011-06-23 10:39:57,52
2011-06-23 10:41:57,0
2011-06-23 11:13:57,0
2011-06-23 11:15:57,4
2011-06-23 11:17:57,8
2011-06-23 11:19:57,64
2011-06-23 11:45:57,64
2011-06-23 11:47:57,34
2011-06-23 11:49:57,36
2011-06-23 11:51:57,64
2011-06-23 12:43:57,64
2011-06-23 12:45:57,1
2011-06-23 12:47:57,2
2011-06-23 12:49:57,2
2011-06-23 12:51:57,3
2011-06-23 12:53:57,8
2011-06-23 12:55:57,64
2011-06-24 01:11:56,64
2011-06-24 01:13:56,38
2011-06-24 01:15:56,64
2011-06-24 01:17:56,52
2011-06-24 01:19:56,44
2011-06-24 01:21:56,40
2011-06-24 01:23:56,32
2011-06-24 01:25:56,20
2011-06-24 01:27:56,13
2011-06-24 01:29:56,7
2011-06-24 01:31:56,5
2011-06-24 01:33:56,3
2011-06-24 01:35:56,1
2011-06-24 01:37:56,0
2011-06-24 09:19:56,0
2011-06-24 09:21:56,1
2011-06-24 09:23:56,2
2011-06-24 09:25:56,5
2011-06-24 09:27:56,8
2011-06-24 09:29:56,12
2011-06-24 09:31:56,17
2011-06-24 09:33:56,18
2011-06-24 09:35:56,34
2011-06-24 09:37:56,32
2011-06-24 09:39:56,26
2011-06-24 09:41:56,20
2011-06-24 09:43:56,38
2011-06-24 09:45:56,64
2011-06-25 01:09:56,64
2011-06-25 01:11:56,56
2011-06-25 01:13:56,40
2011-06-25 01:15:56,30
2011-06-25 01:17:56,24
2011-06-25 01:19:56,20
2011-06-25 01:21:56,15
2011-06-25 01:23:56,9
2011-06-25 01:25:56,6
2011-06-25 01:27:56,4
2011-06-25 01:29:56,2
2011-06-25 01:31:56,0
2011-06-25 09:23:56,0
2011-06-25 09:25:56,1
2011-06-25 09:27:56,4
2011-06-25 09:29:56,8
2011-06-25 09:31:56,15
2011-06-25 09:33:56,19
2011-06-25 09:35:56,20
2011-06-25 09:37:56,36
2011-06-25 09:39:56,42
2011-06-25 09:41:56,50
2011-06-25 09:43:56,44
2011-06-25 09:45:56,64
2011-06-25 09:47:56,0
2011-06-25 09:49:56,0
2011-06-25 09:51:56,64
2011-06-26 01:19:56,64
2011-06-26 01:21:56,56
2011-06-26 01:23:56,44
2011-06-26 01:25:56,32
2011-06-26 01:27:56,22
2011-06-26 01:29:56,18
2011-06-26 01:31:56,11
2011-06-26 01:33:56,11
2011-06-26 01:35:56,7
2011-06-26 01:37:56,5
2011-06-26 01:39:56,3
2011-06-26 01:41:56,0
2011-06-26 09:15:56,0
2011-06-26 09:17:56,1
2011-06-26 09:19:56,1
2011-06-26 09:21:56,3
2011-06-26 09:23:56,5
2011-06-26 09:25:56,9
2011-06-26 09:27:56,12
2011-06-26 09:29:56,20
2011-06-26 09:31:56,36
2011-06-26 09:33:56,50
2011-06-26 09:35:56,60
2011-06-26 09:37:56,0
2011-06-26 09:45:56,0
2011-06-26 09:47:56,64
2011-06-27 01:21:55,64
2011-06-27 01:23:55,44
2011-06-27 01:25:55,40
2011-06-27 01:27:55,19
2011-06-27 01:29:55,17
2011-06-27 01:31:55,11
2011-06-27 01:33:55,7
2011-06-27 01:35:55,4
2011-06-27 01:37:55,2
2011-06-27 01:39:55,1
2011-06-27 01:41:55,0
2011-06-27 09:11:55,0
2011-06-27 09:13:55,2
2011-06-27 09:15:55,4
2011-06-27 09:17:55,8
2011-06-27 09:19:55,14
2011-06-27 09:21:55,30
2011-06-27 09:23:55,28
2011-06-27 09:25:55,26
2011-06-27 09:27:55,0
2011-06-27 09:29:55,58
2011-06-27 09:31:55,64
2011-06-27 09:41:55,64
2011-06-27 09:43:55,5
2011-06-27 09:45:55,64
2011-06-28 01:11:55,64
2011-06-28 01:13:55,60
2011-06-28 01:15:55,64
2011-06-28 01:17:55,54
2011-06-28 01:19:55,30
2011-06-28 01:21:55,20
2011-06-28 01:23:55,12
2011-06-28 01:25:55,7
2011-06-28 01:27:55,3
2011-06-28 01:29:55,2
2011-06-28 01:31:55,2
2011-06-28 01:33:55,0
2011-06-28 09:15:55,0
2011-06-28 09:17:55,1
2011-06-28 09:19:55,2
2011-06-28 09:21:55,4
2011-06-28 09:23:55,8
2011-06-28 09:25:55,10
2011-06-28 09:27:55,19
2011-06-28 09:29:55,28
2011-06-28 09:31:55,38
2011-06-28 09:33:55,42
2011-06-28 09:35:55,48
2011-06-28 09:37:55,64
2011-06-29 01:19:55,64
2011-06-29 01:21:55,38
2011-06-29 01:23:55,52
2011-06-29 01:25:55,64
2011-06-29 01:27:55,20
2011-06-29 01:29:55,18
2011-06-29 01:31:55,11
2011-06-29 01:33:55,9
2011-06-29 01:35:55,7
2011-06-29 01:37:55,1
2011-06-29 01:39:55,0
2011-06-29 09:15:54,0
2011-06-29 09:17:54,1
2011-06-29 09:19:54,3
2011-06-29 09:21:54,3
2011-06-29 09:23:54,6
2011-06-29 09:25:54,9
2011-06-29 09:27:54,17
2011-06-29 09:29:54,22
2011-06-29 09:31:54,32
2011-06-29 09:33:54,40
2011-06-29 09:35:54,46
2011-06-29 09:37:54,54
2011-06-29 09:39:54,64
2011-06-29 10:17:54,64
2011-06-29 10:19:54,2
2011-06-29 10:21:54,2
2011-06-29 10:23:54,64
2011-06-30 01:21:54,64
2011-06-30 01:23:54,46
2011-06-30 01:25:54,34
2011-06-30 01:27:54,28
2011-06-30 01:29:54,16
2011-06-30 01:31:54,8
2011-06-30 01:33:54,15
2011-06-30 01:35:54,10
2011-06-30 01:37:54,4
2011-06-30 01:39:54,1
2011-06-30 01:41:54,0
2011-06-30 09:11:54,0
2011-06-30 09:13:54,3
2011-06-30 09:15:54,4
2011-06-30 09:17:54,8
2011-06-30 09:19:54,12
2011-06-30 09:21:54,14
2011-06-30 09:23:54,22
2011-06-30 09:25:54,42
2011-06-30 09:27:54,64
2011-07-01 01:21:54,64
2011-07-01 01:23:54,56
2011-07-01 01:25:54,50
2011-07-01 01:27:54,26
2011-07-01 01:29:54,22
2011-07-01 01:31:54,20
2011-07-01 01:33:54,12
2011-07-01 01:35:54,6
2011-07-01 01:37:54,2
2011-07-01 01:39:54,1
2011-07-01 01:41:54,0
2011-07-01 09:13:54,0
2011-07-01 09:15:54,2
2011-07-01 09:17:54,3
2011-07-01 09:19:54,11
2011-07-01 09:21:54,9
2011-07-01 09:23:54,15
2011-07-01 09:25:54,32
2011-07-01 09:27:54,32
2011-07-01 09:29:54,44
2011-07-01 09:31:54,64
2011-07-02 01:17:53,64
2011-07-02 01:19:53,56
2011-07-02 01:21:53,50
2011-07-02 01:23:53,34
2011-07-02 01:25:53,28
2011-07-02 01:27:53,28
2011-07-02 01:29:53,15
2011-07-02 01:31:53,8
2011-07-02 01:33:53,6
2011-07-02 01:35:53,3
2011-07-02 01:37:53,2
2011-07-02 01:39:53,0
2011-07-02 09:17:53,0
2011-07-02 09:19:53,1
2011-07-02 09:21:53,2
2011-07-02 09:23:53,4
2011-07-02 09:25:53,7
2011-07-02 09:27:53,9
2011-07-02 09:29:53,19
2011-07-02 09:31:53,24
2011-07-02 09:33:53,42
2011-07-02 09:35:53,54
2011-07-02 09:37:53,64
2011-07-03 00:33:53,64
2011-07-03 00:35:53,54
2011-07-03 00:37:53,58
2011-07-03 00:39:53,64
2011-07-03 00:57:53,64
2011-07-03 00:59:53,42
2011-07-03 01:01:53,28
2011-07-03 01:03:53,28
2011-07-03 01:05:53,20
2011-07-03 01:07:53,15
2011-07-03 01:09:53,11
2011-07-03 01:11:53,6
2011-07-03 01:13:53,4
2011-07-03 01:15:53,2
2011-07-03 01:17:53,1
2011-07-03 01:19:53,0
2011-07-03 02:01:53,0
2011-07-03 02:03:53,2
2011-07-03 02:05:53,0
2011-07-03 09:15:53,0
2011-07-03 09:17:53,1
2011-07-03 09:19:53,3
2011-07-03 09:21:53,6
2011-07-03 09:23:53,10
2011-07-03 09:25:53,13
2011-07-03 09:27:53,19
2011-07-03 09:29:53,26
2011-07-03 09:31:53,26
2011-07-03 09:33:53,48
2011-07-03 09:35:53,64
